disease_id,symptom_id,weight
anthrax,sudden_death,1.0
anthrax,high_fever,0.7
anthrax,trembling,0.7
anthrax,neck_swelling,1.0
anthrax,bloody_discharge,1.0
anthrax,weakness,0.7
anthrax,difficulty_breathing,1.0
anthrax,bloated_carcass,0.7
foot-and-mouth-disease,high_fever,0.7
foot-and-mouth-disease,mouth_blisters,1.0
foot-and-mouth-disease,hoof_blisters,1.0
foot-and-mouth-disease,drooling,0.9
foot-and-mouth-disease,lameness,1.0
foot-and-mouth-disease,reduced_appetite,0.7
foot-and-mouth-disease,nasal_discharge,0.7
foot-and-mouth-disease,reduced_milk,0.7
lumpy-skin-disease,high_fever,1.0
lumpy-skin-disease,skin_nodules,1.0
lumpy-skin-disease,swollen_lymph_nodes,1.0
lumpy-skin-disease,watery_eyes_nasal,0.7
lumpy-skin-disease,reduced_appetite,0.7
lumpy-skin-disease,reduced_milk,1.0
lumpy-skin-disease,lameness,0.7
lumpy-skin-disease,weight_loss,0.7
mastitis,swollen_udder,1.0
mastitis,hot_udder,1.0
mastitis,abnormal_milk,0.7
mastitis,bloody_milk,1.0
mastitis,reduced_milk,0.7
mastitis,fever,1.0
mastitis,reduced_appetite,0.7
mastitis,udder_hardness,0.7
brucellosis,abortion,1.0
brucellosis,retained_placenta,1.0
brucellosis,infertility,0.7
brucellosis,swollen_joints,0.7
brucellosis,intermittent_fever,1.0
brucellosis,weight_loss,0.7
brucellosis,reduced_milk,0.7
brucellosis,weak_calves,0.7
